Município;Pop_Menos_15Anos_2014;Pop_com_60Anoso_2014;Habitantes;area;taxa_natalidade;Esgoto_2010;Empregos_formais_2013;PIB
Mairiporã;20,56;11,09;80755;320,70;13,73;38,12;14716;1354,34
Sete Barras;24,68;14,03;13011;1062,70;18,33;87,10;1717;211,34
Bebedouro;18,30;15,54;75033;683,30;11,10;99,69;24496;3557,67
Arujá;22,84;9,63;74758;96,11;16,45;58,30;21729;2149,45
Guaratinguetá;18,96;14,36;112004;752,64;12,29;92,54;31364;2475,50
Votorantim;21,31;11,00;108695;184,10;14,69;95,94;19335;2067,78
Ribeira;22,97;17,39;3359;335,75;13,29;32,65;421;27,26
Itapirapuã Paulista;26,76;11,86;3877;406,48;12,65;82,30;521;31,71
Mococa;18,51;15,55;66284;854,86;12,24;97,46;17731;1466,74
Apiaí;23,20;12,49;25207;974,32;14,01;69,96;5202;368,62
Itatiba;18,90;12,37;101283;322,23;13,90;97,74;37210;3663,94
Mongaguá;21,72;15,72;46186;142,01;13,57;32,66;5919;603,80
Nova Canaã Paulista;14,22;24,13;2117;124,42;5,83;97,13;213;30,59
Riversul;21,46;17,30;6171;386,20;11,33;89,25;533;60,93
Iporanga;24,38;12,75;4301;1152,05;12,95;74,22;494;31,26
Porangaba;18,85;17,89;8310;265,69;9,85;91,95;1249;96,93
Ribeirão Grande;21,76;13,75;7422;333,36;15,04;94,21;1020;102,32
Osvaldo Cruz;15,55;18,63;30906;248,39;11,15;98,98;7771;584,13
Paraguaçu Paulista;19,70;13,92;42255;1001,30;13,88;98,82;14809;752,35
Cajati;25,22;11,57;28379;454,44;16,31;74,47;5659;634,44
Miracatu;25,69;12,79;20606;1001,54;14,42;69,90;2793;223,41
Santa Isabel;21,51;12,23;50393;363,30;14,36;68,78;11077;991,56
Aparecida;19,53;13,76;35006;121,08;14,65;97,01;10456;528,52
Olímpia;18,59;15,98;49989;802,65;12,83;99,01;14856;1161,54
Franco da Rocha;22,11;9,02;131389;134,16;15,23;69,17;14126;2194,09
Campo Limpo Paulista;21,27;10,88;73981;79,40;15,57;65,11;13560;1143,43
Itararé;22,07;12,99;47922;1003,58;13,94;91,73;8814;662,60
Itaberá;21,33;14,01;17867;1110,50;13,46;93,07;2656;405,38
Matão;18,16;13,41;76743;524,86;13,33;99,08;32407;6194,93
Iaras;18,57;9,95;6337;401,31;13,06;87,13;1687;108,30
Lençóis Paulista;20,04;12,22;61372;809,49;13,65;98,61;20875;1814,84
Várzea Paulista;21,81;9,41;106961;35,12;15,58;88,49;17809;1759,72
Santa Cruz do Rio Pardo;19,99;15,79;43895;1113,50;12,61;96,11;13476;1261,40
Mirante do Paranapanema;19,67;16,24;17052;1239,08;12,33;72,90;3736;169,50
Monte Alto;16,84;16,15;46616;346,50;11,11;97,85;14343;1162,44
